id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_name
142149,on,2020,netzero,high,low,high,low,yes,low,516.551999,electricity
142212,on,2020,netzero,ref,ref,ref,ref,yes,low,516.6085162,electricity
142275,on,2020,netzero,ref,high,ref,low,no,low,516.6050993,electricity
142338,on,2020,netzero,low,high,ref,low,no,low,516.6922652,electricity
142401,on,2020,netzero,high,high,ref,low,no,low,516.5500893,electricity
142464,on,2020,netzero,ref,high,low,low,no,low,516.6050993,electricity
142527,on,2020,netzero,low,high,low,low,no,low,516.6922652,electricity
142590,on,2020,netzero,high,high,low,low,no,low,516.5500893,electricity
142653,on,2020,netzero,ref,high,high,low,no,low,516.6050993,electricity
142716,on,2020,netzero,low,high,high,low,no,low,516.6922652,electricity
142779,on,2020,netzero,high,high,high,low,no,low,516.5500893,electricity
142842,on,2020,netzero,ref,high,ref,low,yes,low,516.6050993,electricity
27238,on,2025,legislated,ref,ref,ref,ref,no,high,529.2192532,electricity
27301,on,2025,legislated,low,ref,ref,ref,no,high,531.3894825,electricity
27364,on,2025,legislated,low,ref,ref,ref,yes,high,531.3894825,electricity
27427,on,2025,legislated,low,high,ref,low,yes,high,531.7755682,electricity
27490,on,2025,legislated,high,high,ref,low,yes,high,528.7412029,electricity
27553,on,2025,legislated,ref,high,low,low,yes,high,529.8158215,electricity
27616,on,2025,legislated,low,high,low,low,yes,high,531.7801215,electricity
27679,on,2025,legislated,high,high,low,low,yes,high,528.745003,electricity
27742,on,2025,legislated,ref,high,high,low,yes,high,529.8077485,electricity
27805,on,2025,legislated,low,high,high,low,yes,high,531.7730948,electricity
27868,on,2025,legislated,high,high,high,low,yes,high,528.7353084,electricity
27931,on,2025,legislated,high,ref,ref,ref,yes,high,527.4678118,electricity
27994,on,2025,legislated,ref,ref,low,ref,yes,high,529.2245532,electricity
28057,on,2025,legislated,low,ref,low,ref,yes,high,531.3952488,electricity
28120,on,2025,legislated,high,ref,low,ref,yes,high,527.4726323,electricity
28183,on,2025,legislated,ref,ref,high,ref,yes,high,529.2145468,electricity
28246,on,2025,legislated,low,ref,high,ref,yes,high,531.385376,electricity
28309,on,2025,legislated,high,ref,high,ref,yes,high,527.4629971,electricity
28372,on,2025,legislated,ref,low,ref,ref,no,high,529.2318833,electricity
28435,on,2025,legislated,low,low,ref,ref,no,high,531.3943938,electricity
28498,on,2025,legislated,high,ref,ref,ref,no,high,527.4678118,electricity
28561,on,2025,legislated,high,low,ref,ref,no,high,527.4769967,electricity
28624,on,2025,legislated,ref,low,low,ref,no,high,529.2363667,electricity
28687,on,2025,legislated,low,low,low,ref,no,high,531.4006859,electricity
28750,on,2025,legislated,high,low,low,ref,no,high,527.4813872,electricity
28813,on,2025,legislated,ref,low,high,ref,no,high,529.2260707,electricity
28876,on,2025,legislated,low,low,high,ref,no,high,531.3916653,electricity
28939,on,2025,legislated,high,low,high,ref,no,high,527.4417458,electricity
29002,on,2025,legislated,ref,low,ref,ref,yes,high,529.2318833,electricity
29065,on,2025,legislated,low,low,ref,ref,yes,high,531.3943938,electricity
29128,on,2025,legislated,high,low,ref,ref,yes,high,527.4769967,electricity
29191,on,2025,legislated,ref,ref,low,ref,no,high,529.2245532,electricity
29254,on,2025,legislated,ref,low,low,ref,yes,high,529.2363667,electricity
29317,on,2025,legislated,low,low,low,ref,yes,high,531.4006859,electricity
29380,on,2025,legislated,high,low,low,ref,yes,high,527.4813872,electricity
29443,on,2025,legislated,ref,low,high,ref,yes,high,529.2260707,electricity
29506,on,2025,legislated,low,low,high,ref,yes,high,531.3916653,electricity
29569,on,2025,legislated,high,low,high,ref,yes,high,527.4417458,electricity
29632,on,2025,legislated,ref,high,ref,ref,no,high,529.2652757,electricity
29695,on,2025,legislated,low,high,ref,ref,no,high,531.3909362,electricity
29758,on,2025,legislated,high,high,ref,ref,no,high,527.4734158,electricity
29821,on,2025,legislated,ref,high,low,ref,no,high,529.2703197,electricity
29884,on,2025,legislated,low,ref,low,ref,no,high,531.3952488,electricity
29947,on,2025,legislated,low,high,low,ref,no,high,531.3960037,electricity
